date,dailyCases,air_temp,dew_point,RH,Rt
2020-01-23,0,14.005277777777778,9.868229166666667,78.72213005050222,NA
2020-01-24,0,12.0125,3.4541666666666666,63.168979349857786,NA
2020-01-25,0,12.577083333333333,4.516666666666667,59.18252177923446,NA
2020-01-26,0,17.613888888888887,11.427222222222222,72.74132271707371,NA
2020-01-27,0,14.052777777777777,9.179166666666667,74.51952528078783,NA
2020-01-28,0,15.346180555555556,9.9825,74.39054172720029,NA
2020-01-29,0,11.541666666666666,2.3874999999999997,54.4645513395569,NA
2020-01-30,0,8.166666666666666,3.638541666666667,73.5764507563897,NA
2020-01-31,0,10.395833333333334,3.247916666666667,63.783979628160516,NA
2020-02-01,0,12.25,0.8333333333333333,52.870126850427575,NA
2020-02-02,0,15.354166666666666,-0.3208333333333333,39.473179161139164,NA
2020-02-03,0,17.429166666666667,9.06875,60.61291739221029,NA
2020-02-04,0,20.460416666666667,15.413194444444445,74.03651934761753,NA
2020-02-05,0,6.236805555555556,0.88,66.35897932225036,NA
2020-02-06,0,4.636458333333334,-4.673958333333333,56.528257237411616,NA
2020-02-07,0,10.8,-3.441666666666667,41.98058771055891,NA
2020-02-08,0,13.393055555555556,1.7375,46.029680394376406,NA
2020-02-09,0,19.049305555555556,16.055555555555554,83.2585747361128,NA
2020-02-10,0,17.520833333333332,15.338888888888889,87.14437990274533,NA
2020-02-11,0,7.792708333333334,4.925,82.49041815375864,NA
2020-02-12,0,8.649722222222222,5.8725,83.51269846361765,NA
2020-02-13,0,8.366666666666667,3.4923611111111112,73.08091782399512,NA
2020-02-14,0,6.9875,-0.04583333333333332,63.20348703758858,NA
2020-02-15,0,10.490277777777777,4.547916666666667,68.06863060770806,NA
2020-02-16,0,16.011111111111113,11.084722222222222,74.35970534009898,NA
2020-02-17,0,19.795833333333334,15.915277777777778,79.51665072025068,NA
2020-02-18,0,19.72013888888889,16.466319444444444,81.81572377475837,NA
2020-02-19,0,10.05861111111111,6.562638888888889,79.51716933162601,NA
2020-02-20,0,8.45138888888889,5.590972222222222,82.82065211965768,NA
2020-02-21,0,7.408333333333333,-0.4916666666666667,58.9099496033064,NA
2020-02-22,0,10.8625,1.3541666666666667,53.65061338732826,NA
2020-02-23,0,15.195833333333335,9.275,68.4947458353617,NA
2020-02-24,0,18.792708333333334,10.951041666666667,65.09078483482817,NA
2020-02-25,0,13.466666666666667,4.5,56.8243719284245,NA
2020-02-26,0,10.041666666666666,-5.241666666666667,35.46784512434701,NA
2020-02-27,0,7.9875,-6.083333333333333,42.75341349632922,NA
2020-02-28,0,12.566666666666666,-4.7749999999999995,32.91036489514692,NA
2020-02-29,0,15.808333333333334,3.1374999999999997,28.213554701511686,NA
2020-03-01,0,18.226388888888888,12.42361111111111,70.51224324728055,NA
2020-03-02,0,21.005208333333332,16.7,77.83491780701618,NA
2020-03-03,0,21.199305555555554,16.832638888888887,76.72065202209392,NA
2020-03-04,0,18.850396825396825,14.592906746031746,76.88055904962971,NA
2020-03-05,0,15.243402777777778,6.784236111111111,64.10000868532416,NA
2020-03-06,0,16.104166666666668,0.4708333333333333,38.288997669539896,NA
2020-03-07,0,12.379166666666666,2.1875,51.38208748102253,NA
2020-03-08,0,15.153472222222222,9.088888888888889,68.88524343599421,NA
2020-03-09,0,18.68784722222222,15.480555555555556,82.32211667827147,NA
2020-03-10,0,19.733333333333334,16.296190476190475,82.37698873279535,NA
2020-03-11,0,22.54375,16.833333333333332,71.99829700538858,NA
2020-03-12,0,23.8875,16.625694444444445,65.46237864314907,NA
2020-03-13,2,23.34375,16.9375,68.39749316758589,NA
2020-03-14,1,24.178472222222222,18.19861111111111,70.28905536031033,NA
2020-03-15,0,18.310416666666665,14.591666666666667,79.8445886393161,NA
2020-03-16,3,17.64340277777778,15.060069444444444,85.5012240479435,NA
2020-03-17,4,22.178472222222222,17.947916666666668,77.65867772543288,NA
2020-03-18,13,23.516666666666666,18.54375,74.61984295932679,NA
2020-03-19,18,23.677083333333332,18.578125,73.68674526153073,NA
2020-03-20,17,17.727519841269842,15.042559523809523,84.71837798211158,NA
2020-03-21,4,10.946006944444443,6.55625,74.7578520467007,NA
2020-03-22,0,14.438680555555555,12.781666666666666,89.99238264654115,NA
2020-03-23,17,21.00166666666667,17.505972222222223,81.85726452071788,NA
2020-03-24,7,24.73125,15.300694444444444,64.04327895953077,NA
2020-03-25,12,21.825416666666666,12.48375,58.71722585778169,NA
2020-03-26,21,24.600347222222222,18.614583333333332,71.05041576040729,NA
2020-03-27,41,25.29375,18.88888888888889,69.29615768261905,NA
2020-03-28,19,23.864583333333332,14.115972222222222,61.93293460981176,NA
2020-03-29,21,18.158333333333335,4.7,46.14223499436278,NA
2020-03-30,6,19.754791666666666,12.63701388888889,66.38263556299944,NA
2020-03-31,38,19.1575,13.7587748015873,74.1067671437282,NA
2020-04-01,0,17.25,9.904166666666667,64.71621317782447,NA
2020-04-02,107,18.996597222222224,14.36170138888889,75.38652830986571,0.9188021265966279
2020-04-03,0,19.085555555555555,17.41644841269841,90.1697772066652,0.9120557628738176
2020-04-04,79,8.484027777777778,6.678472222222222,88.56159591364262,0.9059085406446922
2020-04-05,54,13.484027777777778,10.637847222222222,83.54820236993933,0.9002036036361591
2020-04-06,18,20.069444444444443,16.252777777777776,79.4404310586872,0.8948027899456933
2020-04-07,0,24.689930555555556,20.131944444444443,77.33075295011157,0.8895790982397287
2020-04-08,52,27.355555555555554,20.77013888888889,70.06282618415779,0.8844127532557248
2020-04-09,43,25.844791666666666,21.192708333333332,76.45964928031991,0.8791905148147166
2020-04-10,45,19.86875,14.609027777777778,73.1356907498869,0.8738077793442065
2020-04-11,48,19.9,15.344444444444445,75.41534970785311,0.8681728577063313
2020-04-12,54,25.019791666666666,14.734722222222222,62.69909572864693,0.8622126135231716
2020-04-13,30,14.491666666666667,2.7,46.21124138581179,0.8558784659641075
2020-04-14,82,13.1,3.566666666666667,53.324665734543984,0.8491516649089654
2020-04-15,44,13.354166666666666,2.9541666666666666,51.64679906296378,0.8420467935225627
2020-04-16,77,17.0625,7.345833333333333,55.006374068202874,0.834612675324764
2020-04-17,97,19.261458333333334,14.314583333333333,74.40834508177169,0.8269302471296557
2020-04-18,0,14.466666666666667,8.747916666666667,68.91037385902568,0.819107444547778
2020-04-19,18,20.55763888888889,13.618402777777778,74.39088464167386,0.8112716366028347
2020-04-20,16,22.801041666666666,11.959027777777779,55.264671662394164,0.8035605358773139
2020-04-21,66,24.333333333333332,17.56458333333333,68.28488451396649,0.7961127191927234
2020-04-22,59,23.775347222222223,18.59673611111111,75.7441749013039,0.7890588864324883
2020-04-23,79,24.28125,14.415625,61.42776408166784,0.782514780529953
2020-04-24,67,25.5125,11.608333333333333,45.25820219559495,0.7765763517747892
2020-04-25,0,23.504166666666666,7.845833333333333,37.87491840419895,0.7713173576370526
2020-04-26,17,21.391666666666666,8.704166666666667,48.31226755316349,0.7667892258382355
2020-04-27,16,23.879166666666666,14.008333333333333,57.26059811659231,0.7630227333119615
2020-04-28,52,26.945833333333333,19.302777777777777,64.58085246579988,0.760030897865668
2020-04-29,75,25.592658730158732,14.603869047619048,57.08502004490869,0.7578124453505969
2020-04-30,115,21.916666666666668,6.670833333333333,41.700984603999835,0.7563552838441139
2020-05-01,29,23.754166666666666,11.045833333333333,47.42533833393981,0.7556395557961888
2020-05-02,31,25.489583333333332,17.674305555555556,63.63582541681294,0.7556400130582906
2020-05-03,42,26.904166666666665,18.683333333333334,62.69439511311356,0.7563276345342774
2020-05-04,60,27.922916666666666,18.56458333333333,59.779401865347374,0.7576705554364724
2020-05-05,60,25.897916666666667,18.427777777777777,64.66132089632482,0.7596344839820794
2020-05-06,70,24.15833333333333,7.870833333333334,37.360371938027335,0.7621828389023585
2020-05-07,56,22.554166666666667,14.146153846153846,48.03690758045217,0.7652768509121534
2020-05-08,69,25.60625,17.16111111111111,60.90544439230931,0.7688758409106045
2020-05-09,24,20.283333333333335,9.020833333333334,49.48057664612204,0.772937828185576
2020-05-10,32,20.441666666666666,8.866666666666667,44.00426259089472,0.7774205455065227
2020-05-11,44,22.6375,NA,NA,0.782282856656274
2020-05-12,64,21.754474206349204,18.112571428571428,90.46289581031917,0.7874864965097471
2020-05-13,53,22.25138888888889,18.40486111111111,81.02801668903032,0.7929979935107947
2020-05-14,57,26.604166666666668,19.759722222222223,68.21070406733298,0.7987905966638454
2020-05-15,36,27.165277777777778,20.348958333333332,67.63989099783088,0.8048460187227138
2020-05-16,44,22.490238095238094,16.8290873015873,72.9553320274131,0.8111558255850427
2020-05-17,0,24.1875,15.004166666666666,59.90046544060336,0.8177223464809578
2020-05-18,34,26.412499999999998,16.629166666666666,58.632411403747405,0.82455904374902
2020-05-19,78,28.104166666666668,18.429166666666667,57.24614157305495,0.8316903546969999
2020-05-20,58,28.861805555555556,21.51909722222222,66.51639859711507,0.8391510890648612
2020-05-21,49,27.777083333333334,20.95,67.46979516418563,0.8469855216162936
2020-05-22,0,28.301111111111112,21.965,69.83409626604751,0.8552463497447333
2020-05-23,117,28.75625,21.725,67.0172996312397,0.8639936829028548
2020-05-24,27,27.913541666666667,20.98125,67.39367025383956,0.8732941894159602
2020-05-25,59,21.61777777777778,17.810416666666665,79.82429119360924,0.8832204445748375
2020-05-26,86,23.75736111111111,17.128888888888888,69.78675537941628,0.8938504014798404
2020-05-27,51,23.466666666666665,16.191666666666666,65.55083095501922,0.9052667449799314
2020-05-28,73,23.40486111111111,18.623214285714287,63.21606296170621,0.9175556963800822
2020-05-29,0,25.808333333333334,17.0625,61.763188806223525,0.9308046301988971
2020-05-30,129,25.325,14.066666666666666,52.50278083019694,0.9450976804577264
2020-05-31,46,26.175,17.8,60.595135096154316,0.960508415135198
2020-06-01,40,25.152083333333334,19.891666666666666,73.54567970828862,0.9770887340613978
2020-06-02,88,26.164583333333333,20.340972222222224,71.43407841180758,0.9948535055314859
2020-06-03,73,27.193055555555556,20.402083333333334,68.11254576167859,1.0137611941448066
2020-06-04,68,28.17361111111111,21.339583333333334,68.27444791760503,1.033691872282222
2020-06-05,61,28.82361111111111,21.004166666666666,64.37881128317242,1.0544254399281585
2020-06-06,54,29.725,20.183333333333334,58.93156406440315,1.0756243040360924
2020-06-07,46,30.02916666666667,20.020833333333332,57.008548993334614,1.0968257096147633
2020-06-08,35,30.583333333333332,20.366666666666667,56.05611007491181,1.1174488139376269
2020-06-09,118,30.90277777777778,21.819444444444446,61.34606001645009,1.1368200287025472
2020-06-10,161,28.329166666666666,7.05,26.818526254419208,1.1542170842218107
2020-06-11,133,27.0375,10.025,38.44290530582987,1.1689282184788208
2020-06-12,205,26.7625,11.758333333333333,42.18243076946109,1.1803189131894385
2020-06-13,0,27.40416666666667,13.4875,44.871226180532,1.187895962635771
2020-06-14,147,27.708333333333332,13.495833333333334,44.11697326141114,1.1913583765821603
2020-06-15,84,28.4375,18.491666666666667,57.41433259067259,1.1906269729031385
2020-06-16,119,27.756249999999998,20.00347222222222,66.4966302307023,1.185848896441938
2020-06-17,107,28.279166666666665,17.263194444444444,54.764840918457544,1.1773784104754708
2020-06-18,220,28.245486111111113,19.279166666666665,60.5540074171401,1.1657396754465466
2020-06-19,0,29.268055555555556,21.056944444444444,63.28920467166106,1.1515797707622017
2020-06-20,295,27.544097222222224,21.428819444444443,71.03351675183784,1.1356205700543172
2020-06-21,418,29.213194444444444,21.979166666666668,66.66421173867738,1.1186166159111428
2020-06-22,506,29.229166666666668,22.18958333333333,66.46879116050897,1.1013236733133214
