date,dailyCases,air_temp,dew_point,RH,Rt
2020-01-23,0,5.055555555555555,-7.486111111111111,41.16814741583083,NA
2020-01-24,0,5.666666666666667,4.944444444444445,95.7726117881462,NA
2020-01-25,0,5.222222222222222,1.6805555555555556,79.7485346882596,NA
2020-01-26,0,4.138888888888889,-0.3888888888888889,74.74328962259335,NA
2020-01-27,0,6.555555555555555,4.708333333333333,88.9595683839024,NA
2020-01-28,0,6.972222222222222,1.8888888888888888,74.96872699764613,NA
2020-01-29,0,5.361111111111111,0.41666666666666663,72.96820758367363,NA
2020-01-30,0,6.597222222222222,1.7083333333333333,74.66606024497302,NA
2020-01-31,0,5.611111111111111,2.111111111111111,78.83940405205166,NA
2020-02-01,0,5.625,3.861111111111111,88.81672233145937,NA
2020-02-02,0,8.152777777777779,0.8055555555555556,65.99489257401143,NA
2020-02-03,0,12.305555555555555,1.1111111111111112,51.86685527787486,NA
2020-02-04,0,15.36111111111111,7.430555555555555,63.498542050987666,NA
2020-02-05,0,16.458333333333332,15.930555555555555,96.79218723149357,NA
2020-02-06,0,16.40277777777778,16.319444444444443,99.49395699687246,NA
2020-02-07,0,4.652777777777778,1.75,82.32714805777205,NA
2020-02-08,0,-0.05555555555555555,-1.0138888888888888,93.66610573835213,NA
2020-02-09,0,1.6944444444444444,1.0555555555555556,96.14362871276712,NA
2020-02-10,0,5.472222222222222,4.708333333333333,95.12053202143002,NA
2020-02-11,0,14.791666666666666,13.722222222222223,94.09124577804273,NA
2020-02-12,0,12.166666666666666,11.73611111111111,97.3986443448529,NA
2020-02-13,0,14.666666666666666,13.072463768115941,90.72923020195063,NA
2020-02-14,0,4.152777777777778,-1.7361111111111112,69.12104808644568,NA
2020-02-15,0,3.7916666666666665,-6.291666666666667,50.18587002360268,NA
2020-02-16,0,6.458333333333333,0.375,65.56609258133145,NA
2020-02-17,0,7.597222222222222,3.319444444444444,79.33328529561544,NA
2020-02-18,0,11.5,10.944444444444445,96.72209895772909,NA
2020-02-19,0,10.555555555555555,9.847222222222221,95.63014219398104,NA
2020-02-20,0,6.236111111111111,3.2083333333333335,82.68175290150468,NA
2020-02-21,0,3.2083333333333335,-1.527777777777778,73.60558332408802,NA
2020-02-22,0,3.8333333333333335,-3.875,64.47186330575016,NA
2020-02-23,0,5.263888888888889,-1.9583333333333333,65.06254976364659,NA
2020-02-24,0,7.069444444444445,4.097222222222222,83.83936241070836,NA
2020-02-25,0,10.36111111111111,8.555555555555555,90.52928415868078,NA
2020-02-26,0,9.875,6.472222222222222,80.45288523783245,NA
2020-02-27,0,2.9722222222222223,-4.611111111111111,61.369397016510284,NA
2020-02-28,0,3.9722222222222223,-3.513888888888889,59.10036869199388,NA
2020-02-29,0,5.333333333333333,-3.7142857142857144,60.98849580911884,NA
2020-03-01,0,6.652777777777778,-6.166666666666667,43.51771505345072,NA
2020-03-02,0,9.180555555555555,3.3055555555555554,70.78526898851992,NA
2020-03-03,0,13.583333333333334,12.194444444444445,92.81436978846186,NA
2020-03-04,0,13.694444444444445,10.222222222222221,81.60277377480394,NA
2020-03-05,0,10.26388888888889,9.98611111111111,98.24223528241554,NA
2020-03-06,0,8.541666666666666,2.361111111111111,71.25685459793065,NA
2020-03-07,0,6.194444444444445,-4.75,48.64439938327672,NA
2020-03-08,0,8.13888888888889,-2.8472222222222223,51.733158444854915,NA
2020-03-09,0,11.625,1.0972222222222223,49.786613999085795,NA
2020-03-10,0,14.777777777777777,9.63888888888889,73.76262009640136,NA
2020-03-11,0,16.430555555555557,12.86111111111111,82.121940503471,NA
2020-03-12,0,16.916666666666668,14.166666666666666,85.42491924538137,NA
2020-03-13,0,17.944444444444446,15.597222222222221,87.09794692505729,NA
2020-03-14,0,14.722222222222221,10.791666666666666,77.92957077191367,NA
2020-03-15,0,13.652777777777779,12.11111111111111,91.02545333473662,NA
2020-03-16,0,11.305555555555555,10.125,92.77391314225942,NA
2020-03-17,0,12.416666666666666,10.166666666666666,87.79845218506927,NA
2020-03-18,0,15.444444444444445,13.63888888888889,89.77087370093761,NA
2020-03-19,0,18.73611111111111,15.083333333333334,83.29356304602527,NA
2020-03-20,2,19.98611111111111,15,75.64453759723892,NA
2020-03-21,0,16.680555555555557,13.305555555555555,82.31203460337663,NA
2020-03-22,0,11.541666666666666,7.611111111111111,78.40028812255363,NA
2020-03-23,0,10.791666666666666,10.13888888888889,96.10154091778638,NA
2020-03-24,2,12.708333333333334,12.652777777777779,99.6555815519741,NA
2020-03-25,0,15.38888888888889,12.333333333333334,84.5330955774501,NA
2020-03-26,0,14.958333333333332,9.944444444444445,75.29774958498392,NA
2020-03-27,0,19.930555555555557,10.569444444444445,61.640636895638366,NA
2020-03-28,1,22.069444444444443,14.208333333333334,65.07504032810168,NA
2020-03-29,0,22.52777777777778,11.652777777777777,54.97658266950073,NA
2020-03-30,1,19.02777777777778,1.4027777777777777,31.554129936092117,NA
2020-03-31,0,13.541666666666666,6.013888888888889,64.15325287788555,NA
2020-04-01,1,9.083333333333334,2.1527777777777777,64.50792196410033,1.238638552456096
2020-04-02,1,10.01388888888889,1.125,59.28140988699717,1.2308289113908424
2020-04-03,1,15.152777777777779,0.3472222222222222,41.252600176727114,1.2226638625343307
